=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:26:02 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:54724, ID:1, X:130, Y:135, W:80, H:80
Time:54778, ID:1, X:130, Y:135, W:80, H:80
Time:54832, ID:1, X:130, Y:135, W:80, H:80
Time:54886, ID:1, X:130, Y:135, W:80, H:80
Time:54940, ID:1, X:129, Y:135, W:81, H:81
Time:54994, ID:1, X:129, Y:135, W:81, H:81
Time:55048, ID:1, X:129, Y:135, W:81, H:81
Time:55102, ID:1, X:129, Y:135, W:81, H:81
Time:55156, ID:1, X:129, Y:135, W:81, H:81
Time:55210, ID:1, X:130, Y:134, W:81, H:81
Time:55264, ID:1, X:130, Y:134, W:81, H:81
Time:55318, ID:1, X:131, Y:129, W:81, H:81
Time:55372, ID:1, X:131, Y:129, W:81, H:81
Time:55426, ID:1, X:134, Y:123, W:81, H:81
Time:55480, ID:1, X:134, Y:123, W:81, H:81
Time:55534, ID:1, X:138, Y:109, W:79, H:79
Time:55588, ID:1, X:138, Y:109, W:79, H:79
Time:55642, ID:1, X:141, Y:101, W:78, H:78
Time:55696, ID:1, X:141, Y:101, W:78, H:78
Time:55750, ID:1, X:141, Y:101, W:78, H:78
Time:55804, ID:1, X:141, Y:101, W:78, H:78
Time:55858, ID:1, X:141, Y:85, W:75, H:75
Time:55912, ID:1, X:141, Y:85, W:75, H:75
Time:55966, ID:1, X:143, Y:68, W:73, H:73
Time:56020, ID:1, X:143, Y:68, W:73, H:73
Time:56074, ID:1, X:145, Y:61, W:72, H:72
Time:56128, ID:1, X:145, Y:61, W:72, H:72
Time:56182, ID:1, X:146, Y:54, W:71, H:71
Time:56236, ID:1, X:146, Y:54, W:71, H:71
Time:56290, ID:1, X:147, Y:50, W:70, H:70
Time:56344, ID:1, X:147, Y:50, W:70, H:70
Time:56398, ID:1, X:147, Y:44, W:69, H:69
Time:56452, ID:1, X:147, Y:44, W:69, H:69
Time:56506, ID:1, X:150, Y:38, W:67, H:67
Time:56560, ID:1, X:150, Y:38, W:67, H:67
Time:56614, ID:1, X:152, Y:34, W:66, H:66
Time:56667, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:56719, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:56771, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:56823, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:56875, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:56927, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:56979, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57031, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57083, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57135, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57187, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57239, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57291, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57343, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57395, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57447, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57499, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57551, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57603, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57655, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:57708, ID:1, X:148, Y:92, W:70, H:70
Time:57762, ID:1, X:147, Y:95, W:70, H:70
Time:57816, ID:1, X:147, Y:95, W:70, H:70
Time:57870, ID:1, X:146, Y:103, W:71, H:71
Time:57924, ID:1, X:146, Y:103, W:71, H:71
Time:57978, ID:1, X:146, Y:110, W:72, H:72
Time:58032, ID:1, X:146, Y:110, W:72, H:72
Time:58086, ID:1, X:145, Y:114, W:73, H:73
Time:58140, ID:1, X:145, Y:114, W:73, H:73
Time:58194, ID:1, X:145, Y:116, W:73, H:73
Time:58248, ID:1, X:145, Y:116, W:73, H:73
Time:58302, ID:1, X:144, Y:119, W:73, H:73
Time:58356, ID:1, X:144, Y:119, W:73, H:73
Time:58410, ID:1, X:144, Y:124, W:74, H:74
Time:58464, ID:1, X:144, Y:124, W:74, H:74
Time:58518, ID:1, X:144, Y:130, W:75, H:75
Time:58572, ID:1, X:144, Y:130, W:75, H:75
Time:58626, ID:1, X:142, Y:140, W:76, H:76
Time:58680, ID:1, X:142, Y:140, W:76, H:76
Time:58734, ID:1, X:139, Y:144, W:77, H:77
Time:58788, ID:1, X:139, Y:144, W:77, H:77
Time:58842, ID:1, X:138, Y:151, W:79, H:79
Time:58896, ID:1, X:138, Y:151, W:79, H:79
Time:58949, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59001, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59053, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59105, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59157, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59209, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59261, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59313, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59365, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59417, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59469, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59521, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59573, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59626, ID:1, X:155, Y:155, W:84, H:84
Time:59680, ID:1, X:155, Y:155, W:84, H:84
Time:59734, ID:1, X:156, Y:145, W:84, H:84
Time:59788, ID:1, X:156, Y:145, W:84, H:84
Time:59842, ID:1, X:155, Y:137, W:84, H:84
Time:59896, ID:1, X:155, Y:137, W:84, H:84
Time:59950, ID:1, X:146, Y:117, W:81, H:81
Time:60004, ID:1, X:146, Y:117, W:81, H:81
Time:60058, ID:1, X:145, Y:115, W:81, H:81
Time:60112, ID:1, X:145, Y:115, W:81, H:81
Time:60166, ID:1, X:146, Y:116, W:82, H:82
Time:60220, ID:1, X:146, Y:116, W:82, H:82
Time:60274, ID:1, X:146, Y:116, W:82, H:82
Time:60328, ID:1, X:146, Y:116, W:83, H:83
Time:60382, ID:1, X:146, Y:116, W:83, H:83
Time:60436, ID:1, X:146, Y:116, W:83, H:83
Time:60490, ID:1, X:146, Y:116, W:83, H:83
Time:60544, ID:1, X:149, Y:117, W:83, H:83
Time:60598, ID:1, X:149, Y:117, W:83, H:83
Time:60652, ID:1, X:155, Y:116, W:83, H:83
Time:60706, ID:1, X:155, Y:116, W:83, H:83
Time:60760, ID:1, X:161, Y:115, W:83, H:83
Time:60814, ID:1, X:161, Y:115, W:83, H:83
Time:60868, ID:1, X:161, Y:115, W:83, H:83
Time:60922, ID:1, X:174, Y:114, W:84, H:84
Time:60976, ID:1, X:174, Y:114, W:84, H:84
Time:61030, ID:1, X:183, Y:113, W:84, H:84
Time:61084, ID:1, X:183, Y:113, W:84, H:84
Time:61138, ID:1, X:196, Y:112, W:84, H:84
Time:61192, ID:1, X:196, Y:112, W:84, H:84
Time:61246, ID:1, X:203, Y:111, W:84, H:84
Time:61300, ID:1, X:203, Y:111, W:84, H:84
Time:61354, ID:1, X:203, Y:111, W:84, H:84
Time:61408, ID:1, X:209, Y:109, W:83, H:83
Time:61462, ID:1, X:209, Y:109, W:83, H:83
Time:61516, ID:1, X:211, Y:108, W:83, H:83
Time:61570, ID:1, X:211, Y:108, W:83, H:83
Time:61624, ID:1, X:213, Y:108, W:83, H:83
Time:61678, ID:1, X:213, Y:108, W:83, H:83
Time:61732, ID:1, X:214, Y:108, W:83, H:83
Time:61786, ID:1, X:214, Y:108, W:83, H:83
Time:61840, ID:1, X:214, Y:108, W:83, H:83
Time:61894, ID:1, X:214, Y:108, W:83, H:83
Time:61948, ID:1, X:216, Y:108, W:83, H:83
Time:62002, ID:1, X:216, Y:108, W:83, H:83
