=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:20:08 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:74314, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74366, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74418, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74470, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74522, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74574, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74626, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74678, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74730, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74782, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74834, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74886, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74938, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:74990, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75042, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75094, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75146, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75198, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75250, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75302, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75354, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75406, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75458, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75510, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75562, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75614, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75666, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75718, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75770, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75822, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75874, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75926, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:75978, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76030, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76082, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76134, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76186, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76238, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76290, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76342, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76394, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76446, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76498, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76550, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76602, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76654, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76706, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76758, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76810, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76862, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76914, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:76966, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77018, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77070, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77122, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77174, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77226, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77278, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77330, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77382, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77434, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77486, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77538, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77590, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77642, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77694, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77746, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77798, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77850, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77902, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:77954, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78006, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78058, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78110, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78162, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78214, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78266, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78318, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78370, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78422, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78474, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78526, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78578, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78630, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78682, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78734, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78786, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78838, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78890, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78942, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:78994, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79046, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79098, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79150, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79202, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79254, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79306, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79358, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79410, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79462, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79514, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79566, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79618, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79670, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79722, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79774, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79826, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79878, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79930, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:79982, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80034, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80086, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80138, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80190, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80242, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80294, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80346, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80398, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80450, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80502, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80554, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80606, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80658, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80710, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80762, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80814, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80866, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80918, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:80970, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:81022, ID:-1, X:-1, Y:-1, W:-1, H:-1
